C(2.77): 0.30,0.64,0.04,1.51,1.80,1.01,0.91,2.97,2.09,3.05
C(2.39): 0.29,0.61,0.04,1.51,1.96,1.01,0.91,2.97,2.09,3.05
C(1.59): 0.31,0.51,0.04,1.51,2.09,1.01,0.91,2.97,2.09,3.05
States Expanded: 8, found goal: 1
C(0.00): 0.47,0.55,0.04,0.58,1.10,2.97,0.40,2.97,1.40,3.05
States Expanded: 1, found goal: 1
C(0.00): 0.17,0.59,0.04,1.79,0.07,1.61,1.71,2.25,2.10,3.06
C(8.10): 0.17,0.59,0.04,1.79,0.23,1.61,1.71,2.25,2.09,3.05
C(7.63): 0.17,0.59,0.04,1.79,0.39,1.61,1.71,2.25,2.09,3.05
C(7.17): 0.17,0.59,0.04,1.79,0.55,1.61,1.71,2.25,2.09,3.05
C(6.73): 0.17,0.59,0.04,1.79,0.71,1.61,1.71,2.25,2.09,3.05
C(6.31): 0.17,0.59,0.04,1.79,0.87,1.61,1.71,2.25,2.09,3.05
C(5.94): 0.17,0.59,0.04,1.79,1.03,1.61,1.71,2.25,2.09,3.05
C(5.61): 0.17,0.59,0.04,1.79,1.19,1.61,1.71,2.25,2.09,3.05
C(5.35): 0.17,0.59,0.04,1.79,1.35,1.61,1.71,2.25,2.09,3.05
C(5.15): 0.17,0.59,0.04,1.95,1.35,1.61,1.71,2.25,2.09,3.05
C(4.86): 0.17,0.59,0.04,2.11,1.35,1.61,1.71,2.25,2.09,3.05
C(4.61): 0.17,0.59,0.04,2.11,1.35,1.77,1.71,2.25,2.09,3.05
C(4.36): 0.17,0.59,0.04,2.11,1.35,1.77,1.55,2.25,2.09,3.05
C(4.13): 0.17,0.59,0.04,2.11,1.35,1.93,1.55,2.25,2.09,3.05
C(3.97): 0.18,0.59,0.04,2.11,1.51,1.93,1.55,2.25,2.09,3.05
C(3.86): 0.18,0.59,0.04,2.11,1.51,1.93,1.39,2.25,2.09,3.05
C(3.59): 0.23,0.57,0.04,1.95,1.51,1.93,1.39,2.25,2.09,3.05
C(3.24): 0.26,0.55,0.04,1.95,1.67,1.93,1.39,2.25,2.09,3.05
C(3.17): 0.35,0.53,0.04,1.79,1.67,1.93,1.39,2.25,2.09,3.05
C(3.15): 0.35,0.53,0.04,1.79,1.67,1.93,1.23,2.25,2.09,3.05
C(2.92): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,2.25,2.09,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,2.09,2.09,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,2.09,1.93,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.93,1.93,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.93,1.77,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.77,1.93,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.77,1.77,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.61,1.93,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.77,2.09,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.93,2.09,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,2.41,2.09,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,2.57,2.09,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.77,1.61,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.61,1.77,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.61,1.61,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.61,1.61,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.45,1.77,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,2.73,2.09,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.45,1.61,3.05
C(2.91): 0.41,0.50,0.04,1.63,1.67,1.93,1.23,1.61,1.45,3.05
C(2.84): 0.48,0.43,0.04,1.47,1.67,1.93,1.23,1.61,1.45,3.05
States Expanded: 41, found goal: 1
C(0.00): 0.50,0.29,0.04,0.78,0.90,2.98,0.86,2.97,2.05,3.05
C(4.09): 0.50,0.29,0.04,0.62,0.90,2.97,0.86,2.97,2.05,3.05
C(3.78): 0.50,0.29,0.04,0.62,1.06,2.97,0.86,2.97,2.05,3.05
C(3.49): 0.50,0.29,0.04,0.62,1.22,2.97,0.86,2.97,2.05,3.05
C(3.17): 0.50,0.29,0.04,0.46,1.22,2.97,0.86,2.97,2.05,3.05
C(2.76): 0.50,0.29,0.04,0.46,1.38,2.97,0.86,2.97,2.05,3.05
C(2.20): 0.49,0.32,0.04,0.46,1.54,2.97,0.86,2.97,2.05,3.05
C(1.88): 0.47,0.40,0.04,0.62,1.54,2.97,0.86,2.97,2.05,3.05
C(1.77): 0.43,0.48,0.04,0.78,1.54,2.97,0.86,2.97,2.05,3.05
C(1.76): 0.43,0.48,0.04,0.78,1.54,2.97,0.86,2.97,1.91,2.96
C(1.75): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.97,1.76,2.87
C(1.75): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.97,1.76,2.81
C(1.75): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.81,1.76,2.87
C(1.75): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.65,1.76,2.87
C(1.74): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.65,1.60,2.86
C(1.73): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.49,1.60,2.86
C(1.73): 0.42,0.48,0.04,0.78,1.52,2.96,0.86,2.49,1.46,2.82
States Expanded: 17, found goal: 1
C(0.00): 0.46,0.44,0.04,0.65,0.38,1.24,0.68,2.97,2.10,3.06
States Expanded: 1, found goal: 1
C(0.00): 0.30,0.51,0.04,1.25,0.63,1.09,1.49,0.99,2.10,3.05
C(6.41): 0.30,0.51,0.04,1.25,0.79,1.09,1.49,0.99,2.09,3.05
C(5.99): 0.30,0.51,0.04,1.25,0.95,1.09,1.49,0.99,2.09,3.05
C(5.62): 0.30,0.51,0.04,1.25,1.11,1.09,1.49,0.99,2.09,3.05
C(5.31): 0.30,0.51,0.04,1.25,1.27,1.09,1.49,0.99,2.09,3.05
C(5.07): 0.30,0.51,0.04,1.25,1.43,1.09,1.49,0.99,2.09,3.05
C(4.85): 0.30,0.51,0.04,1.25,1.59,1.09,1.49,0.99,2.09,3.05
