C(3.45): 0.50,0.29,0.04,0.62,1.22,2.97,0.86,2.97,2.05,3.05
C(3.13): 0.50,0.30,0.04,0.46,1.22,2.97,0.86,2.97,2.05,3.05
C(2.72): 0.51,0.30,0.04,0.46,1.38,2.97,0.86,2.97,2.05,3.05
C(2.19): 0.50,0.32,0.04,0.46,1.54,2.97,0.86,2.97,2.05,3.05
C(1.82): 0.48,0.40,0.04,0.62,1.54,2.97,0.86,2.97,2.05,3.05
C(1.67): 0.43,0.48,0.04,0.78,1.54,2.97,0.86,2.97,2.05,3.05
C(1.67): 0.43,0.48,0.04,0.78,1.54,2.97,0.86,2.97,1.89,3.05
C(1.67): 0.43,0.48,0.04,0.78,1.53,2.97,0.86,2.97,1.74,3.03
C(1.67): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.97,1.59,2.95
C(1.68): 0.43,0.48,0.04,0.78,1.51,2.97,0.86,2.97,1.44,2.86
C(1.68): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.97,1.75,2.95
C(1.66): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.97,1.91,2.95
C(1.65): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.97,2.07,2.95
C(1.65): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.81,1.91,2.95
C(1.66): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.81,1.75,2.95
C(1.65): 0.43,0.48,0.04,0.78,1.52,2.97,0.86,2.65,1.75,2.95
C(1.63): 0.43,0.47,0.04,0.78,1.52,2.97,0.86,2.65,1.59,2.95
C(1.61): 0.43,0.47,0.04,0.78,1.52,2.97,0.86,2.65,1.43,2.95
C(1.59): 0.42,0.47,0.04,0.78,1.52,2.97,0.86,2.49,1.43,2.95
States Expanded: 22, found goal: 1

C(0.00): 0.30,0.51,0.04,1.25,0.63,1.09,1.49,0.99,2.10,3.05
C(6.40): 0.30,0.51,0.04,1.25,0.79,1.09,1.49,0.99,2.09,3.05
C(5.99): 0.30,0.51,0.04,1.25,0.95,1.09,1.49,0.99,2.09,3.05
C(5.61): 0.30,0.51,0.04,1.25,1.11,1.09,1.49,0.99,2.09,3.05
C(5.32): 0.30,0.51,0.04,1.25,1.27,1.09,1.49,0.99,2.09,3.05
C(5.07): 0.30,0.51,0.04,1.25,1.43,1.09,1.49,0.99,2.09,3.05
C(4.85): 0.30,0.51,0.04,1.25,1.59,1.09,1.49,0.99,2.09,3.05
C(4.74): 0.30,0.51,0.04,1.25,1.59,1.09,1.33,0.99,2.09,3.05
C(4.56): 0.30,0.51,0.04,1.25,1.59,1.09,1.17,0.99,2.09,3.05
C(4.36): 0.30,0.51,0.04,1.25,1.75,1.09,1.17,0.99,2.09,3.05
C(4.04): 0.30,0.51,0.04,1.41,1.75,1.09,1.17,0.99,2.09,3.05
C(3.79): 0.30,0.51,0.04,1.41,1.75,1.09,1.01,0.99,2.09,3.05
C(3.50): 0.30,0.51,0.04,1.41,1.91,1.09,1.01,0.99,2.09,3.05
C(3.19): 0.31,0.50,0.04,1.41,1.91,1.09,0.85,0.99,2.09,3.05
C(2.90): 0.34,0.47,0.04,1.41,2.07,1.09,0.85,0.99,2.09,3.05
C(2.71): 0.35,0.46,0.04,1.41,2.07,1.25,0.85,0.99,2.09,3.05
C(2.56): 0.42,0.40,0.04,1.25,2.07,1.25,0.85,0.99,2.09,3.05
C(2.42): 0.42,0.39,0.04,1.25,2.05,1.41,0.85,0.98,2.09,3.05
C(2.36): 0.45,0.36,0.04,1.25,2.05,1.41,1.01,0.98,2.09,3.05
C(2.24): 0.45,0.35,0.04,1.25,2.02,1.57,1.01,0.97,2.09,3.05
C(2.22): 0.44,0.35,0.04,1.25,2.02,1.57,1.01,0.97,1.93,3.05
C(2.20): 0.44,0.30,0.04,1.25,2.02,1.57,1.17,0.97,1.93,3.05
C(2.10): 0.43,0.29,0.04,1.25,1.97,1.73,1.17,0.97,1.93,3.05
C(2.04): 0.42,0.25,0.04,1.25,1.97,1.73,1.33,0.97,1.93,3.05
C(1.95): 0.41,0.24,0.04,1.25,1.96,1.80,1.34,0.96,1.93,3.05
C(1.94): 0.41,0.24,0.04,1.25,1.96,1.80,1.34,0.96,1.77,3.05
States Expanded: 26, found goal: 1
C(0.00): 0.29,0.70,0.04,0.85,0.16,2.97,1.12,2.97,2.10,0.16
C(7.57): 0.29,0.70,0.04,0.85,0.32,2.97,1.12,2.97,2.09,0.16
C(7.14): 0.29,0.70,0.04,0.85,0.48,2.97,1.12,2.97,2.09,0.16
C(6.63): 0.29,0.70,0.04,1.01,0.48,2.97,1.12,2.97,2.09,0.16
C(6.16): 0.29,0.70,0.04,1.01,0.64,2.97,1.12,2.97,2.09,0.16
C(5.76): 0.29,0.70,0.04,1.17,0.64,2.97,1.12,2.97,2.09,0.16
C(5.27): 0.29,0.70,0.04,1.17,0.80,2.97,1.12,2.97,2.09,0.16
C(4.89): 0.29,0.70,0.04,1.17,0.96,2.97,1.12,2.97,2.09,0.16
C(4.70): 0.29,0.70,0.04,1.17,1.12,2.97,1.12,2.97,2.09,0.16
